GDG,question_id,included_article_id,included_postfulltext,included_reference,same_study_diff_article,notes,author_1_extract,year_pub_extract,author_year_format,included_article_doi,included_article_pmid,oa_id,ss_id,title_if_unavailable,title,pmid_sent,doi_sent
1.0,1.2,11,16.0,"Hahn, S., W. Kuehnel, et al. (2007). ""Diagnostic value of calculated testosterone indices in the assessment of polycystic ovary syndrome."" Clinical Chemistry & Laboratory Medicine 45(2): 202‐7. Clin Chem Lab Med. 2007;45(2):202-7. doi: 10.1515/CCLM.2007.031.",primary_citation,,Hahn,2007,"Hahn et al., 2007",10.1515/cclm.2007.031,,,,,Diagnostic value of calculated testosterone indices in the assessment of polycystic ovary syndrome,pmid:17311509,10.1515/cclm.2007.031
1.0,1.2,12,16.0,"Stener‐Victorin, E., G. Holm, et al. (2010). ""Are there any sensitive and specific sex steroid markers for polycystic ovary syndrome?"" J Clin Endocrinol Metab. 2010 Feb;95(2):810-9. doi: 10.1210/jc.2009-1908.",primary_citation,,Stener‐Victorin,2010,"Stener‐Victorin et al., 2010",10.1210/jc.2009-1908,,,,,Are There Any Sensitive and Specific Sex Steroid Markers for Polycystic Ovary Syndrome?,pmid:20016048,10.1210/jc.2009-1908
1.0,1.2,13,16.0,"Bili, E., et al. (2014). ""The combination of ovarian volume and outline has better diagnostic accuracy than prostate‐specific antigen (PSA) concentrations in women with polycystic ovarian syndrome (PCOs)."" Eur J Obstet Gynecol Reprod Biol. 2014 Aug;179:32-5. doi: 10.1016/j.ejogrb.2014.05.006 ",primary_citation,,Bili,2014,"Bili et al., 2014",10.1016/j.ejogrb.2014.05.006,,,,,The combination of ovarian volume and outline has better diagnostic accuracy than prostate-specific antigen (PSA) concentrations in women with polycystic ovarian syndrome (PCOs),pmid:24965976,10.1016/j.ejogrb.2014.05.006
1.0,1.2,14,16.0,"Wael A. Salameh, Mildred M. Redor-Goldman, Nigel J. Clarke, Ruchi Mathur, Ricardo Azziz, Richard E. Reitz. Specificity and predictive value of circulating testosterone assessed by tandem mass spectrometry for the diagnosis of polycystic ovary syndrome by the National Institutes of Health 1990 criteria. Fertility and Sterility® Vol. 101, No. 4, April 2014 0015-0282. http://dx.doi.org/10.1016/j.fertnstert.2013.12.056 ",primary_citation,,Wael A. Salameh,1990,"Wael A. Salameh et al., 1990",10.1016/j.fertnstert.2013.12.056,,,,,Specificity and predictive value of circulating testosterone assessed by tandem mass spectrometry for the diagnosis of polycystic ovary syndrome by the National Institutes of Health 1990 criteria,pmid:24534279,10.1016/j.fertnstert.2013.12.056
1.0,1.2,15,16.0,"Villarroel, C., et al. (2015). ""Hirsutism and oligomenorrhea are appropriate screening criteria for polycystic ovary syndrome in adolescents."" Gynecological Endocrinology 31(8): 625‐629. Gynecol Endocrinol. 2015;31(8):625-9. doi: 10.3109/09513590.2015.1025380. ",primary_citation,,Villarroel,2015,"Villarroel et al., 2015",10.3109/09513590.2015.1025380,,,,,Hirsutism and oligomenorrhea are appropriate screening criteria for polycystic ovary syndrome in adolescents,pmid:26190534,10.3109/09513590.2015.1025380
1.0,1.2,16,16.0,"Rudnicka, E., et al. (2016). ""Prostate specific antigen (PSA) in diagnosis of polycystic ovarian syndrome ‐ a new insight."" Gynecol Endocrinol. 2016 Nov;32(11):931-935. doi: 10.1080/09513590.2016.1200552.",primary_citation,,Rudnicka,2016,"Rudnicka et al., 2016",10.1080/09513590.2016.1200552,,,,,Prostate specific antigen (PSA) in diagnosis of polycystic ovarian syndrome – a new insight,pmid:27426018,10.1080/09513590.2016.1200552
1.0,1.3,17,7.0,"Amiri M, Ramezani Tehrani F, Nahidi F, Bidhendi Yarandi R, Behboudi-Gandevani S, Azizi F. Association between biochemical hyperandrogenism parameters and Ferriman-Gallwey score in patients with polycystic ovary syndrome: A systematic review and meta-regression analysis. Clin Endocrinol (Oxf). 2017 Sep;87(3):217-230. doi: 10.1111/cen.13389. Epub 2017 Jun 30. PMID: 28575537.",primary_citation,SR,Amiri M,2017,"Amiri M et al., 2017",10.1111/cen.13389,28575537.0,,,,Association between biochemical hyperandrogenism parameters and Ferriman‐Gallwey score in patients with polycystic ovary syndrome: A systematic review and meta‐regression analysis,pmid:28575537,
1.0,1.3,18,7.0,"Amato MC, Galluzzo A, Merlino S, Mattina A, Richiusa P, Criscimanna A, Giordano C. Lower insulin sensitivity differentiates hirsute from non-hirsute Sicilian women with polycystic ovary syndrome. Eur J Endocrinol. 2006 Dec;155(6):859-65. doi: 10.1530/eje.1.02290. PMID: 17132756.",primary_citation,prior search,Amato MC,2006,"Amato MC et al., 2006",10.1530/eje.1.02290,17132756.0,,,,Lower insulin sensitivity differentiates hirsute from non-hirsute Sicilian women with polycystic ovary syndrome,pmid:17132756,
1.0,1.3,19,7.0,"Panidis D, Tziomalos K, Papadakis E, Chatzis P, Kandaraki EA, Tsourdi EA, Vosnakis C, Katsikis I. The clinical significance and primary determinants of hirsutism in patients with polycystic ovary syndrome. Eur J Endocrinol. 2013 May 3;168(6):871-7. doi: 10.1530/EJE-13-0039. PMID: 23557988.",primary_citation,prior search,Panidis D,2013,"Panidis D et al., 2013",10.1530/eje-13-0039,23557988.0,,,,The clinical significance and primary determinants of hirsutism in patients with polycystic ovary syndrome,pmid:23557988,
1.0,1.3,20,7.0,"Quinn M, Shinkai K, Pasch L, Kuzmich L, Cedars M, Huddleston H. Prevalence of androgenic alopecia in patients with polycystic ovary syndrome and characterization of associated clinical and biochemical features. Fertil Steril. 2014 Apr;101(4):1129-34. doi: 10.1016/j.fertnstert.2014.01.003. Epub 2014 Feb 15. PMID: 24534277.",primary_citation,prior search,Quinn M,2014,"Quinn M et al., 2014",10.1016/j.fertnstert.2014.01.003,24534277.0,,,,Prevalence of androgenic alopecia in patients with polycystic ovary syndrome and characterization of associated clinical and biochemical features,pmid:24534277,
1.0,1.3,21,7.0,"Imran H. J, Dhaher S. A, Mansour M. A. A. Testosterone or Dehydroepiandrosterone Sulfate as A Biomarker for Hirsutism in Women with Polycystic Ovary Syndrome. Biomed Pharmacol J 2020;13(4).",primary_citation,,Imran H. J,2020,"Imran H. J et al., 2020",10.13005/bpj/2056,,,,,Testosterone or Dehydroepiandrosterone Sulfate as a Biomarker for Hirsutism in Women with Polycystic Ovary Syndrome,,10.13005/bpj/2056
1.0,1.3,22,7.0,"Kumar, H., Halder, A., Sharma, M., Jain, M., & Kalsi, A. (2022). Dihydrotestosterone- A Potential Biomarker of Hyperandrogenaemia in Polycystic Ovary Syndrome: A Case-control Study from North India. JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH. doi: 10.7860/jcdr/2022/51169.15962",primary_citation,,Kumar,2022,"Kumar et al., 2022",10.7860/jcdr/2022/51169.15962,,,,,Dihydrotestosterone- A Potential Biomarker of Hyperandrogenaemia in Polycystic Ovary Syndrome: A Case-control Study from North India,,10.7860/jcdr/2022/51169.15962
1.0,1.3,23,7.0,"Leerasiri, P., Wongwananuruk, T., Indhavivadhana, S., Techatraisak, K., Rattanachaiyanont, M., & Angsuwathana, S. (2016). Correlation of clinical and biochemical hyperandrogenism in Thai women with polycystic ovary syndrome. Journal Of Obstetrics And Gynaecology Research, 42(6), 678-683. doi: 10.1111/jog.12945",primary_citation,,Leerasiri,2016,"Leerasiri et al., 2016",10.1111/jog.12945,,,,,Correlation of clinical and biochemical hyperandrogenism in <scp>Thai</scp> women with polycystic ovary syndrome,pmid:26890011,10.1111/jog.12945
1.0,1.3,24,7.0,"Yang Y, Ouyang N, Ye Y, Hu Q, Du T, Di N, Xu W, Azziz R, Yang D, Zhao X. The predictive value of total testosterone alone for clinical hyperandrogenism in polycystic ovary syndrome. Reprod Biomed Online. 2020 Oct;41(4):734-742. doi: 10.1016/j.rbmo.2020.07.013. Epub 2020 Jul 21. PMID: 32912651.",primary_citation,,Yang Y,2020,"Yang Y et al., 2020",10.1016/j.rbmo.2020.07.013,32912651.0,,,,The predictive value of total testosterone alone for clinical hyperandrogenism in polycystic ovary syndrome,pmid:32912651,
1.0,"1.4.1, 1.4.2",25,27.0,"Ahmad AK, Quinn M, Kao CN, Greenwood E, Cedars MI, Huddleston HG. Improved diagnostic performance for the diagnosis of polycystic ovary syndrome using age-stratified criteria. Fertil Steril 2019;111:787–793. DOI: 10.1016/j.fertnstert.2018.11.044",primary_citation,,Ahmad AK,2019,"Ahmad AK et al., 2019",10.1016/j.fertnstert.2018.11.044,,,,,Improved diagnostic performance for the diagnosis of polycystic ovary syndrome using age-stratified criteria,pmid:30871762,10.1016/j.fertnstert.2018.11.044
1.0,"1.4.1, 1.4.2",26,27.0,"Allemand MC, Tummon IS, Phy JL, Foong SC, Dumesic DA, Session DR. Diagnosis of polycystic ovaries by three-dimensional transvaginal ultrasound. Fertil Steril 2006;85:214–219. DOI: 10.1016/j.fertnstert.2005.07.1279",primary_citation,,Allemand MC,2006,"Allemand MC et al., 2006",10.1016/j.fertnstert.2005.07.1279,,,,,Diagnosis of polycystic ovaries by three-dimensional transvaginal ultrasound,pmid:16412756,10.1016/j.fertnstert.2005.07.1279
1.0,"1.4.1, 1.4.2",27,27.0,"Alsamarai S, Adams JM, Murphy MK, Post MD, Hayden DL, Hall JE, Welt CK. Criteria for polycystic ovarian morphology in polycystic ovary syndrome as a function of age. J Clin Endocrinol Metab 2009;94:4961–4970. DOI: 10.1210/jc.2009-0839",primary_citation,,Alsamarai S,2009,"Alsamarai S et al., 2009",10.1210/jc.2009-0839,,,,,Criteria for Polycystic Ovarian Morphology in Polycystic Ovary Syndrome as a Function of Age,pmid:19846740,10.1210/jc.2009-0839
1.0,"1.4.1, 1.4.2",28,27.0,"Bili AE, Dampala K, Iakovou I, Tsolakidis D, Giannakou A, Tarlatzis BC. The combination of ovarian volume and outline has better diagnostic accuracy than prostate-specific antigen (PSA) concentrations in women with polycystic ovarian syndrome (PCOs). Eur J Obstet Gynecol Reprod Biol 2014;179:32–35. DOI: 10.1016/j.ejogrb.2014.05.006",primary_citation,,Bili AE,2014,"Bili AE et al., 2014",10.1016/j.ejogrb.2014.05.006,,,,,The combination of ovarian volume and outline has better diagnostic accuracy than prostate-specific antigen (PSA) concentrations in women with polycystic ovarian syndrome (PCOs),pmid:24965976,10.1016/j.ejogrb.2014.05.006
1.0,"1.4.1, 1.4.2",29,27.0,"Carmina E, Campagna AM, Fruzzetti F, Lobo RA. AMH measurement versus ovarian ultrasound in the diagnosis of polycystic ovary syndrome in different phenotypes. Endocr Pract 2016;22:287–293. DOI: 10.4158/EP15903.OR",primary_citation,,Carmina E,2016,"Carmina E et al., 2016",10.4158/ep15903.or,,,,,Amh Measurement Versus Ovarian Ultrasound In The Diagnosis Of Polycystic Ovary Syndrome In Different Phenotypes,pmid:26523627,10.4158/ep15903.or
1.0,"1.4.1, 1.4.2",30,27.0,"Chen Y, Li L, Chen X, Zhang Q, Wang W, Li Y, Yang D. Ovarian volume and follicle number in the diagnosis of polycystic ovary syndrome in Chinese women. Ultrasound Obstet Gynecol 2008;32:700–703. DOI: 10.1002/uog.5393",primary_citation,,Chen Y,2008,"Chen Y et al., 2008",10.1002/uog.5393,,,,,Ovarian volume and follicle number in the diagnosis of polycystic ovary syndrome in Chinese women,pmid:18773451,10.1002/uog.5393
1.0,"1.4.1, 1.4.2",31,27.0,"Chen Y, Yang D, Li L, Chen X. The role of ovarian volume as a diagnostic criterion for Chinese adolescents with polycystic ovary syndrome. J Pediatr Adolesc Gynecol 2008; 21:347-350. DOI: https://doi.org/10.1016/j.jpag.2008.01.081 ",primary_citation,,Chen Y,2008,"Chen Y et al., 2008",10.1016/j.jpag.2008.01.081,,,,,The Role of Ovarian Volume As a Diagnostic Criterion for Chinese Adolescents with Polycystic Ovary Syndrome,pmid:19064229,10.1016/j.jpag.2008.01.081
1.0,"1.4.1, 1.4.2",32,27.0,"Christ JP, Willis AD, Brooks ED, Brink H Vanden, Jarrett BY, Pierson RA, Chizen DR, Lujan ME. Follicle number, not assessments of the ovarian stroma, represents the best ultrasonographic marker of polycystic ovary syndrome. Fertil Steril 2014;101:280–287. DOI: 10.1016/j.fertnstert.2013.10.001",primary_citation,,Christ JP,2014,"Christ JP et al., 2014",10.1016/j.fertnstert.2013.10.001,,,,,"Follicle number, not assessments of the ovarian stroma, represents the best ultrasonographic marker of polycystic ovary syndrome",pmid:24188871,10.1016/j.fertnstert.2013.10.001
1.0,"1.4.1, 1.4.2",33,27.0,"Çiraci S, Tan S, Özcan AŞ, Aslan A, Keskin HL, Ateş ÖF, Akçay Y, Arslan H. Contribution of real-time elastography in diagnosis of polycystic ovary syndrome. Diagnostic Interv Radiol 2015;21:118–122. DOI: 10.5152/dir.2014.14094",primary_citation,,Çiraci S,2015,"Çiraci S et al., 2015",10.5152/dir.2014.14094,,,,,Contribution of real-time elastography in diagnosis of polycystic ovary syndrome,pmid:25616270,10.5152/dir.2014.14094
1.0,"1.4.1, 1.4.2",34,27.0,"Dewailly D, Alebić M, Duhamel A, Stojanović N. Using cluster analysis to identify a homogeneous subpopulation of women with polycystic ovarian morphology in a population of non-hyperandrogenic women with regular menstrual cycles. Hum Reprod 2014;29:2536–2543. DOI: 10.1093/humrep/deu242",primary_citation,,Dewailly D,2014,"Dewailly D et al., 2014",10.1093/humrep/deu242,,,,,Using cluster analysis to identify a homogeneous subpopulation of women with polycystic ovarian morphology in a population of non-hyperandrogenic women with regular menstrual cycles,pmid:25267785,10.1093/humrep/deu242
1.0,"1.4.1, 1.4.2",35,27.0,"Dewailly D, Gronier H, Poncelet E, Robin G, Leroy M, Pigny P, Duhamel A, Catteau-Jonard S. Diagnosis of polycystic ovary syndrome (PCOS): revisiting the threshold values of follicle count on ultrasound and of the serum AMH level for the definition of polycystic ovaries. Hum Reprod 2011;26:3123–3129. DOI: 10.1093/humrep/der297",primary_citation,,Dewailly D,2011,"Dewailly D et al., 2011",10.1093/humrep/der297,,,,,Diagnosis of polycystic ovary syndrome (PCOS): revisiting the threshold values of follicle count on ultrasound and of the serum AMH level for the definition of polycystic ovaries,pmid:21926054,10.1093/humrep/der297
1.0,"1.4.1, 1.4.2",36,27.0,"Diamanti-Kandarakis E, Livadas S, Katsikis I, Piperi C, Mantziou A, Papavassiliou AG, Panidis D. Serum concentrations of carboxylated osteocalcin are increased and associated with several components of the polycystic ovarian syndrome. J Bone Miner Metab 2011;29:201–206. DOI: https://dx.doi.org/10.1007/s00774-010-0211-2 ",primary_citation,,Diamanti-Kandarakis E,2011,"Diamanti-Kandarakis E et al., 2011",10.1007/s00774-010-0211-2,,,,,Serum concentrations of carboxylated osteocalcin are increased and associated with several components of the polycystic ovarian syndrome,pmid:20694489,10.1007/s00774-010-0211-2
1.0,"1.4.1, 1.4.2",37,27.0,"Ersen E, Özgür DT, Özüm T. Is shear wave elastography relevant in the diagnosis of polycystic ovarian syndrome? Med Ultrason 2019;21:158-162. DOI: 10.11152/mu-1849 ",primary_citation,,Ersen E,2019,"Ersen E et al., 2019",10.11152/mu-1849,,,,,Is shear wave elastography relevant in the diagnosis of polycystic ovarian syndrome?,pmid:31063519,10.11152/mu-1849
1.0,"1.4.1, 1.4.2",38,27.0,"Fulghesu AM, Ciampelli M, Belosi C, Apa R, Pavone V, Lanzone A. A new ultrasound criterion for the diagnosis of polycystic ovary syndrome: ovarian stroma/total area ratio. Fertil Steril 2001;76:326–331. DOI: 10.1016/s0015-0282(01)01919-7",primary_citation,,Fulghesu AM,2001,"Fulghesu AM et al., 2001",10.1016/s0015-0282(01)01919-7,,,2551667.0,,A new ultrasound criterion for the diagnosis of polycystic ovary syndrome: the ovarian stroma/total area ratio,pmid:11476780,10.1016/s0015-0282(01)01919-7
1.0,"1.4.1, 1.4.2",39,27.0,"Jarrett BY, Brink H Vanden, Brooks ED, Hoeger KM, Spandorfer SD, Pierson RA, Chizen DR, Lujan ME. Impact of right–left differences in ovarian morphology on the ultrasound diagnosis of polycystic ovary syndrome. Fertil Steril 2019;112:939–946. DOI: 10.1016/j.fertnstert.2019.06.016",primary_citation,,Jarrett BY,2019,"Jarrett BY et al., 2019",10.1016/j.fertnstert.2019.06.016,,,,,Impact of right–left differences in ovarian morphology on the ultrasound diagnosis of polycystic ovary syndrome,pmid:31395310,10.1016/j.fertnstert.2019.06.016
1.0,"1.4.1, 1.4.2",40,27.0,"Jonard S, Robert Y, Dewailly D. Revisiting the ovarian volume as a diagnostic criterion for polycystic ovaries. Hum Reprod 2005;20:2893–2898. DOI: 10.1093/humrep/dei159",primary_citation,,Jonard S,2005,"Jonard S et al., 2005",10.1093/humrep/dei159,,,,,Revisiting the ovarian volume as a diagnostic criterion for polycystic ovaries,pmid:16006474,10.1093/humrep/dei159
1.0,"1.4.1, 1.4.2",41,27.0,"Kar S, Swoyam S. 2D and 3D trans-vaginal sonography to determine cut-offs for ovarian volume and follicle number per ovary for diagnosis of polycystic ovary syndrome in Indian women. J Reprod Infertil 2018;19:146–151. ",primary_citation,,Kar S,2018,"Kar S et al., 2018",,30167395.0,,,,2D and 3D Trans-vaginal Sonography to Determine Cut-offs for Ovarian Volume and Follicle Number per Ovary for Diagnosis of Polycystic Ovary Syndrome in Indian Women,pmid:30167395,
1.0,"1.4.1, 1.4.2",42,27.0,"Khashchenko E, Uvarova E, Vysokikh M, Ivanets T, Krechetova L, Tarasova N, Sukhanova I, Mamedova F, Borovikov P, Balashov I, Sukhikh, G. The Relevant Hormonal Levels and Diagnostic Features of Polycystic Ovary Syndrome in Adolescents. J of Clin Med 2020;9. DOI: 10.3390/jcm9061831",primary_citation,,Khashchenko E,2020,"Khashchenko E et al., 2020",10.3390/jcm9061831,,,,,The Relevant Hormonal Levels and Diagnostic Features of Polycystic Ovary Syndrome in Adolescents,pmid:32545404,10.3390/jcm9061831
1.0,"1.4.1, 1.4.2",43,27.0,"Kim HJ, Adams JM, Gudmundsson JA, Arason G, Pau CT, Welt CK. Polycystic ovary morphology: age-based ultrasound criteria. Fertil Steril 2017;108:548–553. DOI: 10.1016/j.fertnstert.2017.07.005",primary_citation,,Kim HJ,2017,"Kim HJ et al., 2017",10.1016/j.fertnstert.2017.07.005,,,,,Polycystic ovary morphology: age-based ultrasound criteria,pmid:28807396,10.1016/j.fertnstert.2017.07.005
1.0,"1.4.1, 1.4.2",44,27.0,"Köninger A, Koch L, Edimiris P, Enekwe A, Nagarajah J, Kasimir-Bauer S, Kimmig R, Strowitzki T, Schmidt B. Anti-Mullerian Hormone: an indicator for the severity of polycystic ovarian syndrome. Arch Gynecol Obstet 2014;290:1023–1030. DOI: 10.1007/s00404-014-3317-2",primary_citation,,Köninger A,2014,"Köninger A et al., 2014",10.1007/s00404-014-3317-2,,,,,Anti-Mullerian Hormone: an indicator for the severity of polycystic ovarian syndrome,pmid:24961320,10.1007/s00404-014-3317-2
1.0,"1.4.1, 1.4.2",45,27.0,"Kösüs N, Kösüs A, Turhan NÖ. Relationship of ovarian volume with mean platelet volume and lipid profile in patients with polycystic ovary syndrome. Exp Ther Med 2011;2:1141–1144. DOI: 10.3892/etm.2011.327",primary_citation,,Kösüs N,2011,"Kösüs N et al., 2011",10.3892/etm.2011.327,,,,,Relationship of ovarian volume with mean platelet volume and lipid profile in patients with polycystic ovary syndrome,pmid:22977634,10.3892/etm.2011.327
1.0,"1.4.1, 1.4.2",46,27.0,"Kösüs N, Kösüs A, Turhan NÖ, Kamalak Z. Do threshold values of ovarian volume and follicle number for diagnosing polycystic ovarian syndrome in Turkish women differ from western countries? Eur J Obstet Gynecol Reprod Biol 2011;154:177–181. DOI: 10.1016/j.ejogrb.2010.10.007",primary_citation,,Kösüs N,2011,"Kösüs N et al., 2011",10.1016/j.ejogrb.2010.10.007,,,,,Do threshold values of ovarian volume and follicle number for diagnosing polycystic ovarian syndrome in Turkish women differ from western countries?,pmid:21051133,10.1016/j.ejogrb.2010.10.007
1.0,"1.4.1, 1.4.2",47,27.0,"Le NSV, Le MT, Nguyen ND, Tran NQT, Nguyen QHV, Cao TN. A cross-sectional study on potential ovarian volume and related factors in women with polycystic ovary syndrome from infertile couples. Int J Womens Health 2021;13:793–801. DOI: 10.2147/IJWH.S329082",primary_citation,,Le NSV,2021,"Le NSV et al., 2021",10.2147/ijwh.s329082,,,,,A Cross-Sectional Study on Potential Ovarian Volume and Related Factors in Women with Polycystic Ovary Syndrome from Infertile Couples,pmid:34512036,10.2147/ijwh.s329082
1.0,"1.4.1, 1.4.2",48,27.0,"Lie Fong S, Laven JSE, Duhamel A, Dewailly D. Polycystic ovarian morphology and the diagnosis of polycystic ovary syndrome: redefining threshold levels for follicle count and serum anti-Müllerian hormone using cluster analysis. Hum Reprod 2017;32:1723–1731. DOI: 10.1093/humrep/dex226",primary_citation,,Lie Fong S,2017,"Lie Fong S et al., 2017",10.1093/humrep/dex226,,,,,Polycystic ovarian morphology and the diagnosis of polycystic ovary syndrome: redefining threshold levels for follicle count and serum anti-Müllerian hormone using cluster analysis,pmid:28854584,10.1093/humrep/dex226
1.0,"1.4.1, 1.4.2",49,27.0,"Lujan ME, Jarrett BY, Brooks ED, Reines JK, Peppin AK, Muhn N, Haider E, Pierson RA, Chizen DR. Updated ultrasound criteria for polycystic ovary syndrome: Reliable thresholds for elevated follicle population and ovarian volume. Hum Reprod 2013;28:1361–1368. DOI: 10.1093/humrep/det062",primary_citation,,Lujan ME,2013,"Lujan ME et al., 2013",10.1093/humrep/det062,,,,,Updated ultrasound criteria for polycystic ovary syndrome: reliable thresholds for elevated follicle population and ovarian volume,pmid:23503943,10.1093/humrep/det062
